taxon_name,med_w,med_w_lwr,med_w_upr,med_w_warnings,med_w_messages,med_wo,med_wo_lwr,med_wo_upr,med_wo_warnings,med_wo_messages,num_unburnt_pixels,num_pixels
Acacia abbreviata,3181.682983759942,2663.9534320809635,3800.0313696324097,NA,NA,2582.7473938340436,2252.9043123893653,2960.8821216565166,NA,NA,7,35
Acacia acanthoclada,47753.74976192993,1290.5800253127372,1766973.431788879,NA,NA,5470.40665744779,4290.682588377065,6974.496104399145,NA,NA,58,68
Acacia acanthoclada subsp. acanthoclada,351839.77048741415,7674.872467070415,16129417.736616645,NA,NA,29193.079693952994,5716.677556990675,149078.88253647074,NA,NA,224,279
Acacia acinacea,1794852.2768350577,618315.150230377,5210117.679406204,NA,NA,18190.42992400756,13244.279417960648,24983.748105729745,NA,NA,4462,4827
Acacia aciphylla,9913.053231359316,6205.436761629879,15835.891677341453,Ran out of iterations and did not converge,NA,13580.92676918151,0,Inf,Ran out of iterations and did not converge,NA,14,15
Acacia acradenia,4710.30988776995,4283.19183443244,5180.019970262039,NA,NA,3010.147786715257,2799.513405258887,3236.6302232544053,NA,NA,141,399
Acacia aculeatissima,212842.09827765077,64006.281212110196,707770.5178513303,NA,NA,18454.423915207826,11892.852119403646,28636.172267420046,NA,NA,1240,1470
Acacia acuminata,32743809525622844e193,32743809525622844e193,32743809525622844e193,Ran out of iterations and did not converge,NA,16469.196365628817,9670.495773728047,28047.623956003117,NA,NA,678,769
Acacia adsurgens,6504.646251643658,6078.399818503258,6960.783120949811,NA,NA,4801.826839689762,4557.717040606885,5059.011077900248,NA,NA,168,711
Acacia adunca,28666.874993998965,13830.293644921368,59419.54256505117,NA,NA,10546.189929478323,6810.4104970702565,16331.192088417632,NA,NA,63,112
Acacia aemula subsp. muricata,10576.575179941801,4584.5556021577995,24400.171411229087,Ran out of iterations and did not converge,NA,25977.862773818328,0,Inf,Ran out of iterations and did not converge,NA,10,13
Acacia alata,35382467758274123e5,35382467758274123e5,35382467758274123e5,NA,NA,7633.6268701192785,4029.4846154622437,14461.46709894371,NA,NA,44,52
Acacia alaticaulis,126470.72110336437,1790.2635307264184,8934351.29626691,NA,NA,85902.28222620742,1707.0341706853235,4322820.373717808,NA,NA,2,13
Acacia alleniana,2095.219666955624,1950.2587520866502,2250.9553914836583,NA,NA,1941.9069817592617,1817.0984339985682,2075.288083049626,NA,NA,20,231
Acacia alpina,8310.451110399636,7316.96808733488,9438.82723472395,NA,NA,7337.183246561584,6551.192025320119,8217.475199254819,NA,NA,26,190
Acacia ammobia,13360.53864552264,8622.242783279911,20702.733312573353,NA,NA,8940.314941523515,6526.356432980354,12247.144647159228,NA,NA,24,67
Acacia amoena,30031.298015689204,10360.518308642137,87049.58899158966,NA,NA,15455.376574413742,8111.247795578991,29449.065184167048,NA,NA,115,197
Acacia ancistrocarpa,4993.6715649631915,4662.273962491373,5348.6251342888645,NA,NA,3784.709609151793,3574.3171145019196,4007.4862880771507,NA,NA,153,669
Acacia ancistrophylla var. ancistrophylla,9427.427930162687,7014.136577713502,12671.03889319816,Ran out of iterations and did not converge,NA,16231.910144754109,0,Inf,Ran out of iterations and did not converge,NA,21,23
Acacia ancistrophylla var. lissophylla,226481824.34565356,0.2819828453256845,181904742111854050,NA,NA,181495.57210910393,99.46865920104243,331166047.2735691,NA,NA,316,331
Acacia aneura,14431132025846452e17,14431132025846452e17,14431132025846452e17,NA,NA,7516.214321729862,6871.400308432886,8221.537851731011,NA,NA,4234,4628
Acacia aneura var. aneura,123506.69869129281,49041.17361108894,311042.81358741055,NA,NA,8524.121741170471,6675.984742441081,10883.885188707996,NA,NA,794,891
Acacia aneura var. major,235685.3190849984,7008.005956418509,7926301.715157991,NA,NA,13267.82111247556,4293.143688426825,41003.77016199022,NA,NA,109,125
Acacia applanata,49726.82851741679,17100.434670800692,144602.0245685832,NA,NA,9856.45942514098,6592.222141434178,14737.032568856173,NA,NA,155,209
Acacia aprepta,183484.19274131177,1671.2181518285813,20144855.98369931,NA,NA,9981.283878561377,2383.685242648277,41794.95936877324,NA,NA,39,46
Acacia aptaneura,36563.15751101269,22975.738628070983,58185.91988776318,NA,NA,9542.091963618162,7710.2545211401,11809.14570232405,NA,NA,340,505
Acacia argyrophylla,322905.7975724769,1647.3578835516093,63294172.53348803,NA,NA,11115.025253669137,3229.06554542921,38259.919054470876,NA,NA,187,210
Acacia aspera,8063410.362204786,24720.10282430038,2630190785.6708765,NA,NA,14782.624756447485,3458.9625211302837,63176.745441730454,NA,NA,261,273
Acacia aspera subsp. aspera,4288428.717727838,13.975358669616046,1315931941483.265,NA,NA,13028.966808504292,1288.6614753055803,131728.91356657687,NA,NA,250,254
Acacia aspera subsp. parviceps,9389.928534473109,7935.444293124649,11111.004579655884,Ran out of iterations and did not converge,NA,10548.375464717612,0,Inf,Ran out of iterations and did not converge,NA,69,73
Acacia assimilis subsp. atroviridis,64216.61248730984,3095.2453048661546,1332292.8922183255,NA,NA,12482.769189585611,4293.590417818503,36291.19489223125,NA,NA,67,80
Acacia aulacocarpa,12494.181261690177,10435.34370363244,14959.216469854435,NA,NA,3960.2351092141143,3535.37444383508,4436.153049530773,NA,NA,321,517
Acacia auriculiformis,1830.015249838887,1727.4670606694754,1938.6510405269344,NA,NA,1266.1257490663043,1208.2334199078416,1326.7919807837998,NA,NA,292,794
Acacia ausfeldii,10883.360275278692,9714.340984910641,12193.058805069726,Ran out of iterations and did not converge,NA,13313.297271287887,2538.027029780921,69835.30204915935,NA,NA,326,331
Acacia axillaris,8256.753278902537,7957.6288975023335,8567.121637208484,Ran out of iterations and did not converge,NA,5891.968238411231,0,Inf,Ran out of iterations and did not converge,NA,191,193
Acacia ayersiana,37259.79277950785,20223.24075245342,68648.3524062998,NA,NA,9097.24701296842,7009.152602915532,11807.404960841897,NA,NA,225,312
Acacia barbinervis,22702.465563273367,3752.524394111443,137348.05920526304,NA,NA,7688.976955337382,3738.3844484755614,15814.415942110336,NA,NA,11,17
Acacia barringtonensis,9469.750665446463,7366.9035735658335,12172.845316925632,NA,NA,4692.442513643343,3966.391567510784,5551.397629071226,NA,NA,54,101
Acacia baueri subsp. baueri,15017.890119616499,9406.032677549078,23977.911982296304,NA,NA,6923.052140184197,5286.122186087564,9066.882915013104,NA,NA,43,78
Acacia beadleana,4753.549795517659,3755.6227655364705,6016.641465117504,NA,NA,4115.275488700055,3338.153892052637,5073.31084651756,NA,NA,3,15
Acacia beckleri,5959.789756014625,0,Inf,Ran out of iterations and did not converge,NA,13838.434186490038,0,Inf,Ran out of iterations and did not converge,NA,101,110
Acacia betchei,7745.128090814227,6862.720514558211,8740.995501108693,NA,NA,6354.661089049199,5759.810318360764,7010.945729922666,NA,NA,30,123
Acacia bidentata,134248.87753523982,29258.6869195616,615979.8342632487,NA,NA,7978.802753930826,4509.353390381497,14117.610192610833,NA,NA,128,154
Acacia binervata,60885.15845598614,37204.957581339484,99637.32688328125,NA,NA,13311.971625546608,10794.089044445913,16417.187947003298,NA,NA,1115,1420
Acacia binervia,1082503460088582e20,1082503460088582e20,1082503460088582e20,NA,NA,15005.886136982599,10513.467150204338,21417.921941355984,NA,NA,572,717
Acacia bivenosa,10295.14100788134,8811.489074703788,12028.605775207545,NA,NA,5196.914159909361,4672.8944668331815,5779.697567997855,NA,NA,193,436
Acacia blakei subsp. diphylla,24463.72770212473,15597.272030893977,38370.42605260007,NA,NA,11614.039268045937,8879.297118293814,15191.05694096106,NA,NA,155,283
Acacia blakelyi,665877.2506644238,46873.23067068222,9459397.327817244,NA,NA,15584.847210994745,5687.798112410309,42703.24962134119,NA,NA,158,185
Acacia blayana,12384.538483436309,0,Inf,Ran out of iterations and did not converge,NA,30821.20269321528,0,Inf,Ran out of iterations and did not converge,NA,16,32
Acacia boormanii,69178.81892956056,17053.762938401363,280624.81024129625,NA,NA,11459921982124414e37,11459921982124414e37,11459921982124414e37,NA,NA,211,320
Acacia brachybotrya,28694621.10734492,243882.73128689043,3376136047.6380053,NA,NA,162626.1701826747,20047.93812995956,1319201.5586262015,NA,NA,1227,1377
Acacia brachystachya,96124.02008454004,27004.438882415012,342159.57152251486,NA,NA,8737.716016230886,6232.268887509612,12250.383056050377,NA,NA,369,426
Acacia brockii,1718.3468168491258,1492.5521047367936,1978.2999692973704,NA,NA,1575.7541880741026,1386.3190305269636,1791.0749304864128,NA,NA,6,57
Acacia browniana,20592.152236025446,7225.151871139047,58688.97170251434,NA,NA,7721.997220657536,5565.0061315628,10715.0360064558,NA,NA,45,65
Acacia brownii,32097.585176080895,25136.499973333648,40986.413193114684,NA,NA,10148.813100832582,8984.442903648533,11464.083912626782,NA,NA,963,1448
Acacia brunioides subsp. brunioides,12908.665027957793,9240.458507275422,18033.048108253788,NA,NA,6037.564257456793,5056.924191992505,7208.3703015838655,NA,NA,60,88
Acacia bulgaensis,9942.617748957919,7359.132736224347,13433.056753452656,NA,NA,7131.535772260272,6707.837807087065,7581.996454549592,NA,NA,43,53
Acacia burbidgeae,10068.154887244442,7977.63819066759,12706.485354540917,NA,NA,5706.536047856714,5014.654728518825,6493.877530648383,NA,NA,49,109
Acacia burkittii,10803.378806855442,10147.39372404613,11501.770485936717,Ran out of iterations and did not converge,NA,9159.239576294018,6367.362235705663,13175.262614323878,NA,NA,1084,1111
Acacia buxifolia,31143.499597428676,21333.896644516786,45463.68548308908,NA,NA,11533.154858212985,9661.717637797015,13767.082207325873,NA,NA,684,994
Acacia buxifolia subsp. buxifolia,19636.454787452698,15814.802308834045,24381.61091677292,NA,NA,9255.799404829313,8342.360221038325,10269.254785521098,NA,NA,626,985
Acacia buxifolia subsp. pubiflora,11791.045789646294,8294.61675497754,16761.32423238306,NA,NA,4378.017921007017,3670.6464013422897,5221.707247434554,NA,NA,58,104
Acacia caerulescens,9356.68252439207,6594.7503582374075,13275.33312203544,Ran out of iterations and did not converge,NA,10577817856488683e228,10577817856488683e228,10577817856488683e228,Ran out of iterations and did not converge,NA,38,53
Acacia calamifolia,21239210.199614685,3.499146532676652,128918307847584.11,NA,NA,112105.96567392003,397.86671972158194,31587833.102695204,NA,NA,1040,1105
Acacia calcicola,24128.379967462504,15680.061886606103,37128.59834765981,NA,NA,3681.404003777391,2960.923995846878,4577.1980159024315,NA,NA,183,244
Acacia cambagei,269906.18411202816,14619.116036860643,4983156.850129226,NA,NA,8769.896669900796,5421.151584432024,14187.223213164436,NA,NA,676,704
Acacia carneorum,NA,NA,NA,Ran out of iterations and did not converge,NA,NA,NA,NA,"no non-missing arguments to max; returning -Inf, Ran out of iterations and did not converge",NA,303,303
Acacia caroleae,11637.46108359922,9958.630553486013,13599.309638500343,NA,NA,5972.117497855811,5470.740522249864,6519.444170883052,NA,NA,191,435
Acacia cataractae,1562.9123050533817,1452.5951114921872,1681.6075270816539,NA,NA,1498.6547616740672,1400.8507278803802,1603.2872382389469,NA,NA,7,126
Acacia celastrifolia,338649.76311499154,25775.095263713432,4449398.183962994,NA,NA,14375.476952464853,4624.450810719262,44687.325278027165,NA,NA,79,99
Acacia celsa,276241.6695141034,9124.864429280851,8362804.792043726,NA,NA,5804.371510966626,2537.1438464042476,13278.998226714246,NA,NA,72,78
Acacia cheelii,73527.0338195279,20886.13141697919,258842.79833186662,NA,NA,9754.811220286736,7060.782603739586,13476.74150072747,NA,NA,538,639
Acacia chrysocephala,11045.651157594211,8288.520123523145,14719.92679959878,Ran out of iterations and did not converge,NA,26497.38422899358,1740.2620966575466,403451.5101647253,NA,NA,94,111
Acacia chrysotricha,NA,NA,NA,Ran out of iterations and did not converge,NA,NA,NA,NA,"no non-missing arguments to max; returning -Inf, Ran out of iterations and did not converge",NA,22,22
Acacia cincinnata,24721.88590951518,12872.850764718132,47477.56764167444,NA,NA,3379.558245416674,2810.83434390496,4063.3536298324157,NA,NA,95,109
Acacia clunies-rossiae,9849.836178956799,8501.386782971602,11412.170182236292,Ran out of iterations and did not converge,NA,29882.157025745673,0,Inf,Ran out of iterations and did not converge,NA,92,147
Acacia cochlearis,16946.293660771702,3417.974350105622,84019.60910801934,NA,NA,8595.50836410188,5854.363429337512,12620.11915199909,NA,NA,120,141
Acacia cognata,135341.08007079712,46433.581178735796,394481.9135147444,NA,NA,53342.5146358785,24752.582259599018,114954.62727229047,NA,NA,264,563
Acacia colei var. colei,4170.9023010141245,3726.738676287612,4668.002646736242,NA,NA,2657.1806691752854,2435.5083547018244,2899.0289008896607,NA,NA,103,286
Acacia colletioides,123952488.86988123,160.64912622304522,95638363296830.86,NA,NA,216270.13914659183,1532.825574026905,30514087.10751665,NA,NA,1498,1557
Acacia complanata,11523.498780360596,10124.520395993199,13115.784150479305,NA,NA,5844.075406451484,5381.091990887257,6346.89342128487,NA,NA,287,567
Acacia concurrens,15802.530345153322,13607.784886984333,18351.257562011113,NA,NA,7929.834324880651,7361.879524722738,8541.605741968942,NA,NA,596,938
Acacia conferta,30526.728278606468,21277.080434198277,43797.41582863386,NA,NA,6354.65934226654,5518.613215167861,7317.362855810707,NA,NA,392,553
Acacia constablei,24064.714651217193,0,Inf,Ran out of iterations and did not converge,NA,30931.33476421252,0,Inf,Ran out of iterations and did not converge,NA,5,21
Acacia continua,85102.10976227089,5731.169523845956,1263680.834401414,NA,NA,9453.16382274706,5554.273012333696,16088.929381263388,NA,NA,540,634
Acacia coriacea,7117.998640473383,5447.215217236695,9301.24891806332,NA,NA,3508.667103379074,2976.3064591317357,4136.249076288282,NA,NA,33,65
Acacia costiniana,17627.232231965558,0,Inf,Ran out of iterations and did not converge,NA,15573.614578145824,0,Inf,Ran out of iterations and did not converge,NA,20,41
Acacia courtii,12311.470864044291,6794.877048933516,22306.851727361467,Ran out of iterations and did not converge,NA,28489.694582935852,0,Inf,Ran out of iterations and did not converge,NA,30,34
Acacia cowleana,5738.463432442407,5089.365210484459,6470.3477159863905,NA,NA,3697.3573308233576,3364.575647694432,4063.0536100922177,NA,NA,112,343
Acacia crassa,41669.39527190621,9789.81356669889,177361.75367350248,NA,NA,8904.189042353528,4916.971047096439,16124.679552218986,NA,NA,47,66
Acacia crassicarpa,5576.620569827904,4605.2395568075735,6752.894522904203,NA,NA,2225.265325890431,1953.2563983698487,2535.153999619781,NA,NA,118,205
Acacia crassistipula,47032.22594989647,6286.9750371685395,351843.3371732208,NA,NA,6296.05973026862,2461.62258275446,16103.349231852653,NA,NA,19,26
Acacia cremiflora,12690.263163211872,4435.9804237249855,36303.7623633923,NA,NA,7582.262953719604,6258.647922014107,9185.803741592716,NA,NA,66,71
Acacia cultriformis,108350.52726130672,25055.342279879198,468556.23150799656,NA,NA,11288.77395055169,6971.136062212512,18280.580979825056,NA,NA,278,334
Acacia cupularis,3719969729.995891,37.70017432074524,3.6705864207293517e+017,NA,NA,4500000.295274408,334.2860856059644,60576863738.62174,NA,NA,428,483
Acacia curranii,97873.12549448038,4743.185253599975,2019560.3127219097,NA,NA,10185.90094789607,4123.630832868468,25160.491403198193,NA,NA,65,77
Acacia cyclops,1101264.5169107928,67626.5377531764,17933544.67787754,NA,NA,28701.38970005091,10314.446119103442,79865.63322954201,NA,NA,559,634
Acacia dallachiana,13554.642138365662,9201.534791930442,19967.138923420003,NA,NA,10527.80269781618,7517.29661538615,14743.947899740064,NA,NA,20,107
Acacia daviesii,10232.189593159575,0,Inf,Ran out of iterations and did not converge,NA,8722.898518100958,0,Inf,Ran out of iterations and did not converge,NA,7,10
Acacia dawsonii,10305.469022655294,8818.889281879952,12042.638067258758,Ran out of iterations and did not converge,NA,32642.333424474076,3952.0496556512244,269612.48573152354,NA,NA,240,290
Acacia dealbata,31444.792685822464,28479.191974524845,34719.207902346105,NA,NA,11015.932695108308,10520.58817625641,11534.59969253706,NA,NA,8775,12841
Acacia dealbata subsp. dealbata,411064.0918749429,130242.05709259097,1297381.9010616934,NA,NA,23874.050092620535,16175.660101005893,35236.291085858735,NA,NA,6789,7566
Acacia dealbata subsp. subalpina,14307.216881737108,10748.39927775758,19044.36647833283,NA,NA,10026.287223340396,8307.808259902096,12100.235385801217,NA,NA,108,253
Acacia deanei,415290.8743168817,113184.18066968587,1523768.686316709,NA,NA,15717.628966299364,10163.742517814562,24306.38712946977,NA,NA,993,1134
Acacia deanei subsp. deanei,222463.57612532994,50415.9450541127,981634.7318165223,NA,NA,13053.13996437742,8533.04240010211,19967.610020030876,NA,NA,949,1061
Acacia deanei subsp. paucijuga,166022.33292193402,47118.33361576928,584982.8063447629,NA,NA,16681.55590725822,10250.648139751449,27146.99633556336,NA,NA,533,650
Acacia debilis,22510.78798343569,10045.841587913232,50442.321949897814,NA,NA,8403.491371974522,5453.942192482318,12948.187704701104,NA,NA,38,65
Acacia decora,200062.34499753517,115281.6236382104,347192.73222177656,NA,NA,9712.664897778177,8132.061580998342,11600.485126300651,NA,NA,2118,2454
Acacia decurrens,131678.95742813885,63817.22398735096,271703.26043637306,NA,NA,15337.353361344361,11867.740512236405,19821.330596856194,NA,NA,2128,2431
Acacia dentifera,7873.251552515028,7495.763340294231,8269.750150189115,Ran out of iterations and did not converge,NA,12013.193542484842,0,Inf,Ran out of iterations and did not converge,NA,53,60
Acacia dictyophleba,15266.232520653,12422.151469854167,18761.47267566522,NA,NA,6645.785724831698,5848.471920298397,7551.796178945033,NA,NA,239,487
Acacia difficilis,1158.0720111445394,1126.842828130132,1190.166675881333,NA,NA,1078.3949895880028,1052.0166501333317,1105.4347413808694,NA,NA,124,1147
Acacia difformis,274774.04784549883,33633.49282605622,2244809.296491183,NA,NA,7158.224204244813,4150.991729141565,12344.079945645375,NA,NA,205,225
Acacia dimidiata,1142.6846493899316,1106.4456627677075,1180.1105575172946,NA,NA,1066.8031917966057,1036.3666515957618,1098.1336077102305,NA,NA,81,764
Acacia disparrima subsp. disparrima,24401.84162289103,17598.153948398616,33835.92826467125,NA,NA,7465.166750462232,6482.581434512612,8596.685622106152,NA,NA,362,496
Acacia divergens,25701.040852131307,11877.77655850123,55611.712985975755,NA,NA,8056.928278687984,6027.692158846549,10769.311301449075,NA,NA,92,130
Acacia doratoxylon,194029.25432643766,73456.25679435905,512513.88482627523,NA,NA,15159.225977950913,10835.473192351095,21208.31533345512,NA,NA,1263,1479
Acacia drummondii,45218.84992453296,1269.2751246183232,1610954.4328399994,NA,NA,18551.570008302017,2311.1467172273483,148913.41480294085,NA,NA,17,30
Acacia echinula,17041.061504073146,13363.313709356371,21730.970588700686,NA,NA,8921.818970280294,7540.0628133795335,10556.789208335029,NA,NA,173,378
Acacia elachantha,5923.291858156734,5426.2320283868075,6465.883923385522,NA,NA,3950.832458558574,3696.645834753342,4222.497316040961,NA,NA,158,509
Acacia elata,20221.33848527808,16478.1156851534,24814.884052829202,NA,NA,7623.735636217224,6957.122705357559,8354.221639093736,NA,NA,647,903
Acacia elongata,19362.098626862957,16373.945895118839,22895.572370745707,NA,NA,8167.915325978107,7459.162616698625,8944.012109750154,NA,NA,667,1091
Acacia enterocarpa,10806724.337909427,326.6235054833271,357553234702.8989,NA,NA,26730.594369363385,1203.987916837114,593464.9885993071,NA,NA,119,126
Acacia eremophila var. eremophila,24398.441203194678,4479.318098157473,132896.10608155114,NA,NA,7071.967205592437,5003.057467087128,9996.431279469838,NA,NA,46,53
Acacia erinacea,387779.0304054319,64777.00845411318,2321388.097579371,NA,NA,17430.13336961488,9480.756382087318,32044.864042342797,NA,NA,582,661
Acacia estrophiolata,25833.229483337618,18783.133955998943,35529.52063814917,NA,NA,8267.487907874034,7071.672371036645,9665.515131440357,NA,NA,350,556
Acacia euthycarpa,1719728.1299606827,928.4748451392402,3185293448.132719,NA,NA,55341.19178850984,2715.1705127213572,1127976.1231286353,NA,NA,522,600
Acacia euthycarpa subsp. euthycarpa,3285842.0198697867,2884.1314894031148,3743504004.311673,NA,NA,61305.316190512924,3150.4613361640754,1192949.6642529282,NA,NA,210,243
Acacia euthycarpa subsp. oblanceolata,9390.317615176227,6768.201668241091,13028.285685938263,Ran out of iterations and did not converge,NA,10698.86195274041,0,Inf,Ran out of iterations and did not converge,NA,18,19
Acacia excelsa,1178547.846919438,30689.18336818464,45259432.64161239,NA,NA,10107.277367589093,4227.611971074714,24164.246029280006,NA,NA,272,288
Acacia excelsa subsp. angusta,9753.899389688071,8101.522469169399,11743.293148443418,Ran out of iterations and did not converge,NA,16279.712809608329,0,Inf,Ran out of iterations and did not converge,NA,65,67
Acacia excelsa subsp. excelsa,63778.06499468174,23178.80725555622,175489.68459068533,NA,NA,7088.103493076424,5097.292147402482,9856.45116577526,NA,NA,175,217
Acacia extensa,60019.81459956802,22390.35807036651,160889.70677669693,NA,NA,9230.963778736053,6541.727105968063,13025.71796469446,NA,NA,223,286
Acacia exudans,8330.275228217359,7796.544623478734,8900.543603493057,Ran out of iterations and did not converge,NA,5716.972966786063,0,Inf,Ran out of iterations and did not converge,NA,74,75
Acacia fagonioides,9637.246517166806,0,Inf,Ran out of iterations and did not converge,NA,17581.606608027778,0,Inf,Ran out of iterations and did not converge,NA,14,18
Acacia falcata,48946.896709415654,36452.822089547524,65723.2707963418,NA,NA,9905.77631902057,8887.380025309889,11040.86966046523,NA,NA,2238,2756
Acacia falciformis,26508.73865568477,23413.79219288228,30012.78986874324,NA,NA,13867.89227748466,12767.691318863133,15062.898328046582,NA,NA,1969,4195
Acacia farinosa,9773789.485529948,15026.194069315818,6357362381.1052885,NA,NA,178792.15298117942,6465.284160970117,4944350.963043967,NA,NA,259,319
Acacia filicifolia,16710.642343826978,14614.352860294011,19107.624553256148,NA,NA,8152.076291458589,7535.504526145254,8819.097331994642,NA,NA,678,1183
Acacia filipes,3803.674544480911,2613.4239842530033,5536.009513767217,NA,NA,3540.3198373733503,2471.2209969354635,5071.9318775788915,NA,NA,1,14
Acacia fimbriata,29286.916781741613,23156.44262977483,37040.38259649554,NA,NA,10236.974581071905,9111.616486462679,11501.323473086204,NA,NA,980,1464
Acacia flavescens,8976.16380546391,7508.9123078886305,10730.118206051557,NA,NA,3639.7233458822016,3241.146430770301,4087.314879942483,NA,NA,173,317
Acacia flexifolia,94527.33077329691,34430.031777236516,259523.9040421669,NA,NA,7201.163286054612,5157.473108747948,10054.682124171031,NA,NA,251,302
Acacia floribunda,39584.82517029875,30698.26677874282,51043.871468605656,NA,NA,11110.49017957587,9984.430487624728,12363.548645408862,NA,NA,2297,2974
Acacia frigescens,152513.5834228089,46140.13923715168,504124.90107392234,NA,NA,35974.465034902765,17660.551265018214,73279.82661056008,NA,NA,368,597
Acacia fulva,9990.126669918645,7674.396954931485,13004.621922363265,NA,NA,7655.83455655323,6896.138094421715,8499.221151723394,NA,NA,40,65
Acacia genistifolia,253230.8165275269,102725.04082748125,624247.4660768692,NA,NA,20428.570818424858,14739.731289919364,28313.03349259924,NA,NA,3482,4050
Acacia georgensis,33813.93426610887,0,Inf,Ran out of iterations and did not converge,NA,25829.098496668605,0,Inf,Ran out of iterations and did not converge,NA,27,43
Acacia georginae,37565.88324882407,19994.21659535645,70580.18890282635,NA,NA,8644.001761201538,6828.379544186557,10942.386251986853,NA,NA,261,367
Acacia gladiiformis,19290.255266152828,15165.318002239217,24537.167514614117,NA,NA,6888.287288650218,6262.44884228859,7576.668962239426,NA,NA,399,623
Acacia glandulicarpa,8733.337119309988,7862.5648820791785,9700.546626121908,Ran out of iterations and did not converge,NA,9483.024471419036,0,Inf,Ran out of iterations and did not converge,NA,100,109
Acacia glaucoptera,24736.6572745786,7459.703075865861,82027.69023067814,NA,NA,8316.1500103998,6210.942636319517,11134.920260099916,NA,NA,178,200
Acacia gonocarpa,1588.9206121143868,1528.495795149817,1651.734155640579,NA,NA,1473.683793734649,1423.0835154918798,1526.0832553214545,NA,NA,58,597
Acacia gonophylla,14016.994331996464,5890.109429670533,33356.95753180791,NA,NA,7245.811633785451,6395.705584282707,8208.912299109348,NA,NA,90,112
Acacia gordonii,23977.96663348222,8283.194010611931,69410.77115178078,NA,NA,15048.403402945682,6647.379393009607,34066.724883482144,NA,NA,14,40
Acacia granitica,9487.844571390871,8084.344597752135,11135.002166520877,NA,NA,6422.855372678862,5721.54104314853,7210.1328693167025,NA,NA,69,188
Acacia gunnii,29405.31898155774,23105.47003649845,37422.86060579084,NA,NA,9489.55732146876,8647.174484575731,10414.002668509775,NA,NA,1712,2266
Acacia hakeoides,413455.3905633346,179542.70804679114,952115.3036264144,NA,NA,17927.660600511586,13029.512086727118,24667.156564867822,NA,NA,1808,2158
Acacia halliana,2392928.7174482634,45910.50838733948,124723250.6875843,NA,NA,27100.41234403809,6395.946064680039,114827.78963265597,NA,NA,255,287
